,user_id,blitz_rating,total_games_played
564,Forestxxx,2224.0,5616
565,YankeeDodson,2132.0,54700
566,Bala79,1500.0,0
567,Moraya,1037.0,563
568,SoheiliM,1735.0,33
569,demarcuscousins,2512.0,1142
570,G_krishnan,1422.0,2967
571,greennight,2612.0,7278
572,sereppy,2256.0,5270
573,AndyBoehme,2264.0,12939
574,Leopold12345,1342.0,261
575,Teddy-Teclebrhan,2438.0,3018
576,qqwref,1424.0,3341
577,Ishmael_in_Chess,1106.0,11
578,kahvitauko,2502.0,21683
579,hot_dog_beast,2179.0,268
580,Mimma,2480.0,1536
581,BanaleKralen,2569.0,2818
582,Mohamed_AL_Shaqiri,2619.0,1192
583,explosionbrainchess,2754.0,351
584,strided,1025.0,394
585,zehnebartar_club,2456.0,1643
586,Emrey1lmaz,1160.0,1254
587,ALONGUS,2314.0,46660
588,fastblitzer_cgn,2217.0,7350
589,alessandrocarvalhaes,1992.0,50572
590,alshaib1962,1447.0,2362
591,kars78,2325.0,32591
592,Jf_The_Best,1540.0,14
593,IVRazor_MyJL,2099.0,100
594,kirillun1027,1182.0,39
595,IhmeSaataja,1951.0,4320
596,Ssundee2130,1187.0,13
597,Lambo1966,2230.0,17288
598,ie1,2654.0,1747
599,ilpignatore07,2152.0,3100
600,waterson_237,1020.0,27
601,Otxariturralde,1136.0,3734
602,Andless_Feefle,1242.0,2580
603,chesskose2842,2404.0,3035
604,Markkut,1490.0,9611
605,RatofNimh,1446.0,5801
606,Vova5960,1087.0,2250
607,Carta_Vetrata,1891.0,3263
608,Kiskar,2670.0,1872
609,shashankmis123,747.0,35
610,bad-brains,1800.0,3163
611,anayagarwal2008,1331.0,411
612,ngibator2022,1201.0,10565
613,datajunkie,2775.0,2463
614,Lishadark,2001.0,320
615,Khwan7,840.0,41
616,Ms-MaNHaTTaN,2045.0,3518
617,Z2cd3,1218.0,1879
618,OhanyanEminChess,2745.0,14278
619,XXiloop32,2400.0,598
620,in24,2342.0,913
621,Nocturnas,1157.0,812
622,shaurya1702,2107.0,2843
623,Weak1Slow1,2328.0,5906
624,BatmanBinSuparman,2212.0,8734
625,jrpenteado,2030.0,6020
626,BigCarl,1178.0,139
627,bob_tables,1092.0,735
628,millesabords,2031.0,9469
629,cybermanic,1309.0,1890
630,Utere,1579.0,5106
631,AMIR-77777777,2316.0,2897
632,iva182,2305.0,13973
633,zeta2k,1431.0,7256
634,lucasmaximus2,1808.0,2
635,Kaspa_nor,1755.0,24
636,Zsakk19,1137.0,2650
637,slapduck,1174.0,1097
638,ChessPlayer15346,1030.0,54
639,Ahm_EDbnd,916.0,8
640,DrMHJ,2187.0,45323
641,Ebi2000,1887.0,2611
642,LinconLuz,1531.0,1152
643,EnvySmart,2585.0,247
644,damuero,1251.0,97
645,MMM005,1403.0,2610
646,JG_NAV,2018.0,3419
647,whataper,2217.0,1795
648,serg54,1894.0,7258
649,Grandpa70,1509.0,11807
650,FuegoAbrumador,2667.0,2114
651,DrFlagstein,2865.0,0
652,AladarProGT,2391.0,0
653,xeque60,1807.0,4830
654,SuneSon,1306.0,35
655,Zeneval,1702.0,3411
656,Yadu868,1583.0,72
657,lazzza_xx,1500.0,0
658,ValidAlekhine,2500.0,1635
659,z2win,2298.0,52375
660,Brenjos,2436.0,8344
661,harolmonsalve,1426.0,538
662,gectiborunpazari,1150.0,1624
663,blindfold_chess_7,955.0,24
664,miaowha,1634.0,608
665,hadeed,2197.0,11438
666,quicksilver2,2446.0,52619
667,venco_m,1518.0,4722
668,Marea_Unire_1918,1961.0,7279
669,vlh,1951.0,349
670,Arielchezz77,2243.0,2968
671,plansugus,2605.0,6688
672,NeverOFzero,2223.0,860
673,Nikk128,1628.0,8
674,lynus_kho,2436.0,5430
675,Nebet,1886.0,13053
676,EtPeVe,853.0,9
677,Juanjojjl,1822.0,1527
678,BowleORice,1759.0,332
679,Ford_Crown_Vic,1154.0,11
680,bowbeforeme,1306.0,2909
681,ZeruHmyz,2435.0,44164
682,jonny0112,854.0,782
683,LolaIce,1638.0,1692
684,Zambran,2460.0,4525
685,vaishu3303,1029.0,4
686,Aladdinsalman,1384.0,2883
687,A7nour73,1207.0,1784
688,mo7karim,1297.0,13909
689,DerSchachArzt,2356.0,166
690,Justin20140815,2038.0,95
691,Gennadiy300iq,1227.0,1043
692,saam2022,2338.0,7461
693,RolliI,1874.0,6223
694,KING-BKD,2188.0,4428
695,GPLuiS,1723.0,3095
696,B0103232338,2433.0,637
697,himselfCaTaHa,1948.0,3826
698,PESKI,1450.0,18617
699,Curiosito,2008.0,4963
700,HamedKolajei,944.0,1888
701,Timur96,2211.0,13463
702,Swissknight17,2172.0,5
703,Ticolv,1958.0,1186
704,dmitrijiiiGM,2856.0,3938
